,movie,chapter,character,dialog,movie_number
29,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"Err yes, well, some of them are quite a bit bigger than last year.",1
30,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,I don't care how big they are!,1
31,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?",1
32,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,This will be a lovely day at the zoo. I'm really looking forward to it.,1
33,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in.",1
34,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Make it move.,1
35,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Vernon Dursley,Move!,1
36,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,MOVE!,1
37,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,He's asleep!,1
38,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,He's boring.,1
39,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either.",1
40,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mummy, dad, come here! You won't believe what this snake is doing!",1
41,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,Whoa! Ahh! Ahh!!,1
42,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Snake,Thanks.,1
43,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Harry Potter,Anytime.,1
44,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Man,SNAKE!,1
45,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mum, mummy!",1
46,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,AHH!,1
47,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Dudley Dursley,"Mum, help! Help me!",1
48,Harry Potter and the Philosopher's Stone,The Vanishing Glass,Petunia Dursley,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",1
49,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It's all right. It's all right.,1
50,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Ow!,1
51,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,What happened?!,1
52,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",1
53,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,There's no such thing as magic!,1
54,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",1
55,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Caveat Smeltona. Proudest moment of my life.,1
56,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Will I have to wear that, too?",1
57,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"What, you? Go to Smeltings?",1
58,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Ha!,1
59,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",1
60,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,1
61,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,It'll fit you well enough. Go get the post.  Go!,1
62,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Oh, Marge is ill! Ate a funny whelk.",1
63,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,Dad! Look! Harry's got a letter!,1
64,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,"Hey, give it back! It's mine!",1
65,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Yours? Who'd be writing to you?,1
66,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,No more mail through this letterbox.,1
67,Harry Potter and the Philosopher's Stone,Letters from No One,Petunia Dursley,"Have a lovely day at the office, dear.",1
68,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Shoo! Go on!,1
69,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",1
70,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Because there's no post on Sunday?,1
71,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",1
72,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,AHH! Make it stop! Please make it stop!,1
73,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,"Go away, ahh!",1
74,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,What is it? Please tell me what's happening!,1
75,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Give me that! Give me that letter!,1
76,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,Get off! Ahh!,1
77,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,Ahh!,1
78,Harry Potter and the Philosopher's Stone,Letters from No One,Harry Potter,They're my letters! Let go of me!,1
79,Harry Potter and the Philosopher's Stone,Letters from No One,Vernon Dursley,That's it! We're going away! Far away! Where they can't find us!,1
80,Harry Potter and the Philosopher's Stone,Letters from No One,Dudley Dursley,"Daddy's gone mad, hasn't he?!",1
81,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Make a wish, Harry.",1
82,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,Who's there? Ahh!,1
83,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,Sorry 'bout that.,1
84,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"I demand that you leave at once, sir! You are breaking and entering!",1
85,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",1
86,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Dudley Dursley,I-I-I'm not Harry.,1
87,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,I-I am.,1
88,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",1
89,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Thank you!,1
90,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"It's not every day that your young man turns eleven, now is it?",1
91,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Excuse me, who are you?",1
92,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",1
93,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Sorry, no.",1
94,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",1
95,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Learned what?,1
96,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"You're a wizard, Harry.",1
97,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,I-I'm a what?,1
98,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",1
99,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",1
100,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",1
101,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",1
102,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,"He'll not be going! We swore when we took him in, we’d put a stop to this rubbish!",1
103,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,You knew? You knew all along and you never told me?,1
104,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",1
105,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Blown up? You told me my parents died in a car crash!,1
106,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,A car crash? A car crash kill James and Lily Potter?,1
107,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Petunia Dursley,We had to tell him something.,1
108,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,It's an outrage! It's a scandal!,1
109,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,He'll not be going!,1
110,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",1
111,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Muggle?,1
112,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.",1
113,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Vernon Dursley,I will not pay for some crackpot old fool to teach him magic tricks!,1
114,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Never, insult Albus Dumbledore, in front of me.",1
115,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Dudley Dursley,Ahh!,1
116,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",1
117,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Harry Potter,Okay.,1
118,Harry Potter and the Philosopher's Stone,Keeper of the Keys,Rubeus Hagrid,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",1
119,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"First year students will require: three sets of work robes, one wand.",1
120,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Essential bit of equipment, Harry.",1
121,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?",1
122,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.",1
123,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,But you like a dragon?,1
124,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Fast and misunderstood beasts, Harry. Fast and misunderstood.",1
125,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?",1
126,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,If you know where to go.,1
127,Harry Potter and the Philosopher's Stone,Diagon Alley,Tom,"Ah, Hagrid! The usual, I presume?",1
128,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",1
129,Harry Potter and the Philosopher's Stone,Diagon Alley,Tom,Bless my soul. It's Harry Potter.,1
130,Harry Potter and the Philosopher's Stone,Diagon Alley,Man,"Welcome back, Mr. Potter, welcome back.",1
131,Harry Potter and the Philosopher's Stone,Diagon Alley,Witch,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",1
132,Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,Harry P-potter. C-can't tell you how pleased I am to meet you.,1
133,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",1
134,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"Oh, nice to meet you.",1
135,Harry Potter and the Philosopher's Stone,Diagon Alley,Quirinus Quirrell,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",1
136,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"Yes, well, must be going now. Lots to buy. Heh.",1
137,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,Goodbye.,1
138,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"See, Harry, you're famous!",1
139,Harry Potter and the Philosopher's Stone,Diagon Alley,Harry Potter,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",1
140,Harry Potter and the Philosopher's Stone,Diagon Alley,Rubeus Hagrid,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",1
141,Harry Potter and the Philosopher's Stone,Diagon Alley,Boy,"It's a world class racing broom. Look at it, it’s the new Nimbus 2000! It's the fastest model yet.",1
142,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"But, Hagrid, how am I to pay for all this? I haven't any money.",1
143,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",1
144,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"Uh, Hagrid, what exactly are these things?",1
145,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",1
146,Harry Potter and the Philosopher's Stone,Gringotts,Goblin,And does Mr. Harry Potter have his key?,1
147,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.",1
148,Harry Potter and the Philosopher's Stone,Gringotts,Goblin,Very well.,1
149,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,"Vault 687. Lamp, please.  Key please.",1
150,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Didn't think your mum and dad would leave you with nothing now, did ya?",1
151,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,Vault 713.,1
152,Harry Potter and the Philosopher's Stone,Gringotts,Harry Potter,"What's in there, Hagrid?",1
153,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Can't tell you, Harry. It's Hogwarts business. Very secret.",1
154,Harry Potter and the Philosopher's Stone,Gringotts,Griphook,Stand back.,1
155,Harry Potter and the Philosopher's Stone,Gringotts,Rubeus Hagrid,"Best not mention this to anyone, Harry.",1
156,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,I still need...a wand.,1
157,Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",1
158,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,Hello? Hello?,1
159,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",1
160,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,"Sorry, but what's curious?",1
161,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",1
162,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,And...who owned that wand?,1
163,Harry Potter and the Philosopher's Stone,Ollivanders,Garrick Ollivander,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",1
164,Harry Potter and the Philosopher's Stone,Ollivanders,Rubeus Hagrid,Harry! Harry! Happy birthday!,1
165,Harry Potter and the Philosopher's Stone,Ollivanders,Harry Potter,Wow.,1
166,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"You all right, Harry? You seem very quiet.",1
167,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",1
168,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",1
169,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Maybe if you wrote it down?,1
170,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"No, I can't spell it. All right.  Voldemort.",1
171,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Voldemort?,1
172,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,Shh!!,1
173,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"It was dark times, Harry, dark times.  Voldemort started to gather some followers, brought 'em over to the dark side. Anyone that stood up to him ended up dead. Your parents fought against him, but nobody lived once he decided to kill 'em.  Nobody...not one. ‘Cept you.",1
174,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,Me? Voldemort tried to kill...me?,1
175,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Yes. That ain't no ordinary cut on your forehead, Harry. A mark like that only comes from being touched by a curse...and an evil curse at that.",1
176,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Harry Potter,What happened to...to You-Know-Who?,1
177,Harry Potter and the Philosopher's Stone,The Boy Who Lived,Rubeus Hagrid,"Well, some say he died. Codswallop in my opinion. Nope, I reckon he's out there, still, too tired to go on. But one thing's absolutely certain. Something about you stumped him that night. That's why you're famous. That's why everybody knows your name. You're the boy who lived.",1
178,Harry Potter and the Philosopher's Stone,Platform 9¾,Rubeus Hagrid,"What're you looking at?  Blimey, is that the time? Sorry, Harry, I'm gonna have to leave you. Dumbledore'll be wanting his- well, he'll be wanting to see me. Now, uh, your train leaves in 10 minutes. Here's your ticket.  Stick to it, Harry that's very important. Stick to your ticket.",1
179,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Platform 9¾? But, Hagrid, there must be a mistake. This says Platform 9¾. There's no such thing...is there?",1
180,Harry Potter and the Philosopher's Stone,Platform 9¾,Man,Sorry.,1
181,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Excuse me, excuse me.",1
182,Harry Potter and the Philosopher's Stone,Platform 9¾,Guard,"Right on your left, ma'am.",1
183,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,"Excuse me, sir. Can you tell me where I might find Platform 9¾?",1
184,Harry Potter and the Philosopher's Stone,Platform 9¾,Guard,"9¾? Think you're being funny, do ya?",1
185,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"It's the same year after year. Always packed with Muggles, of course.",1
186,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,Muggles?,1
187,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Come on. Platform 9¾ this way! All right, Percy, you first.",1
188,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Fred, you next.",1
189,Harry Potter and the Philosopher's Stone,Platform 9¾,George Weasley,"He's not Fred, I am!",1
190,Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,"Honestly, woman, you call yourself our mother.",1
191,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"Oh, I'm sorry, George.",1
192,Harry Potter and the Philosopher's Stone,Platform 9¾,Fred Weasley,I'm only joking. I am Fred.,1
193,Harry Potter and the Philosopher's Stone,Platform 9¾,Harry Potter,Excuse me! C-could you tell me how to-,1
194,Harry Potter and the Philosopher's Stone,Platform 9¾,Molly Weasley,"How to get on the platform? Yes, not to worry, dear. It's Ron's first time to Hogwarts as well.  Now, all you've got to do is walk straight at the wall between platforms 9 and 10. Best do it at a bit of a run if you're nervous.",1
195,Harry Potter and the Philosopher's Stone,Platform 9¾,Ginny Weasley,Good luck.,1
196,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"Excuse me, do you mind? Everywhere else is full.",1
197,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,"No, not at all.",1
198,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"I'm Ron, by the way. Ron Weasley.",1
199,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,I'm Harry. Harry Potter.,1
200,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"So-so it's true? I mean, do you really have the...the...",1
201,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,The what?,1
202,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,Scar...?,1
203,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,Oh,1
204,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,Wicked.,1
205,Harry Potter and the Philosopher's Stone,Ron and Hermione,Woman,"Anything off the trolley, dears?",1
206,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"No, thanks, I'm all set.",1
207,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,We'll take the lot!,1
208,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,Whoa!,1
209,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,Bertie Bott's Every Flavour Beans?,1
210,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"They mean every flavour! There's chocolate and peppermint, and there's also spinach, liver and tripe. George sweared he got a bogey-flavoured one once!",1
211,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,"These aren't real chocolate frogs, are they?",1
212,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,"It's just a spell. Besides, it's the cards you want. Each pack's got a famous witch or wizard. I got about 500 meself.  Watch it!  Oh, that's rotten luck. They've only got one good jump in them to begin with.",1
213,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,I got Dumbledore!,1
214,Harry Potter and the Philosopher's Stone,Ron and Hermione,Ron Weasley,I got about 6 of him.,1
215,Harry Potter and the Philosopher's Stone,Ron and Hermione,Harry Potter,"Hey, he's gone!",1
